Gap: 833.0 | Predicted Class: 25
Gap: 1967.0 | Predicted Class: 25
Gap: 2000.0 | Predicted Class: 13
Gap: 3500.0 | Predicted Class: 1
Gap: 4566.0 | Predicted Class: 1
Gap: 1833.0000000000073 | Predicted Class: 1
Gap: 1700.0000000000146 | Predicted Class: 1
Gap: 1000.0 | Predicted Class: 25
Gap: 3933.0 | Predicted Class: 13
Gap: 1600.0 | Predicted Class: 1
Gap: 599.9999999999854 | Predicted Class: 25
Gap: 433.0 | Predicted Class: 1
Gap: 399.99999999998545 | Predicted Class: 4
Gap: 1633.0 | Predicted Class: 32
Gap: 1800.0 | Predicted Class: 37
Gap: 866.0 | Predicted Class: 1
Gap: 300.0 | Predicted Class: UTurn
Gap: 566.0 | Predicted Class: 1
Gap: 1600.0 | Predicted Class: 1
Gap: 699.9999999999982 | Predicted Class: 25
Gap: 2667.000000000002 | Predicted Class: 25
Gap: 700.0 | Predicted Class: 25
Gap: 5567.0 | Predicted Class: UTurn
Gap: 1500.0 | Predicted Class: 1
Gap: 1767.0 | Predicted Class: UTurn
Gap: 1667.0 | Predicted Class: UTurn
Gap: 500.0 | Predicted Class: 1
Gap: 1267.0 | Predicted Class: UTurn
Gap: 967.0 | Predicted Class: 37
Gap: 1200.0000000000018 | Predicted Class: 14
Gap: 300.0000000000018 | Predicted Class: 1
Gap: 4167.0 | Predicted Class: 25
Gap: 733.0 | Predicted Class: 25
Gap: 3800.0 | Predicted Class: 37

Gap: 1600.0000000000018 | Predicted Class: 25
Gap: 1466.9999999999982 | Predicted Class: 1
Gap: 6267.0 | Predicted Class: 1
Gap: 334.00000000000045 | Predicted Class: 25
Gap: 2232.999999999999 | Predicted Class: 37
Gap: 1866.0000000000018 | Predicted Class: 1
Gap: 1800.0 | Predicted Class: 37
Gap: 2133.0 | Predicted Class: 4
Gap: 600.0 | Predicted Class: 1
Gap: 600.0 | Predicted Class: 4
Gap: 2334.000000000001 | Predicted Class: 25
Gap: 7733.000000000002 | Predicted Class: 37
Gap: 667.0 | Predicted Class: 37
Gap: 22767.0 | Predicted Class: 1
Gap: 25800.0 | Predicted Class: 24
Gap: 5766.0 | Predicted Class: 25
Gap: 2233.0 | Predicted Class: 37
Gap: 1734.0 | Predicted Class: 1
Gap: 5865.999999999998 | Predicted Class: 1
Gap: 2232.9999999999964 | Predicted Class: 25
Gap: 1467.0 | Predicted Class: 25
Gap: 1733.0 | Predicted Class: 1